scenario_id,scenario,strategy,strategy_label,run,avg_snr_db,min_snr_db,jam_snr_db,clean_snr_db,avg_sinr_db,avg_ber,avg_per,avg_throughput_kbps,avg_throughput_mbps,avg_spectral_efficiency_bps_hz,avg_jsr_db,hop_success,hop_success_rate_pct,response_latency_s,response_latency_ms,recovery_time_s,anti_jam_gain_db,thr_improvement_ratio,decision_count,action_change_count,final_comm_channel_idx,final_modulation,final_action_profile,final_coding_rate,final_spreading_factor,final_interleaving_depth,final_power_gain_db,final_sync_threshold_db,final_bandwidth_scale,final_route_diversity,overlap_ratio,post_jam_overlap_ratio,task_completed,task_progress,completion_time_s,available_channel_ratio,emergency_score
base_station_outage,基站退服,无干扰基线,Clean Baseline,24,25.182,23.86,0.0,25.182,25.182,2.08e-06,0.008483499159326557,723.7522,0.7238,0.3619,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9169,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,25,25.1931,23.526,0.0,25.1931,25.1931,2.08e-06,0.008483499159326557,719.7855,0.7198,0.3599,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9119,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,26,25.1833,23.405,0.0,25.1833,25.1833,2.08e-06,0.008483499159326557,725.227,0.7252,0.3626,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9135,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,27,25.2127,23.715,0.0,25.2127,25.2127,2.08e-06,0.008483499159326557,718.0469,0.718,0.359,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9138,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,28,25.217,23.818,0.0,25.217,25.217,2.08e-06,0.008483499159326557,712.6941,0.7127,0.3563,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9123,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,29,25.2346,24.031,0.0,25.2346,25.2346,2.08e-06,0.008483499159326557,723.6249,0.7236,0.3618,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9158,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,30,25.2406,23.799,0.0,25.2406,25.2406,2.08e-06,0.008483499159326557,720.2033,0.7202,0.3601,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9135,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,31,25.2112,23.844,0.0,25.2112,25.2112,2.08e-06,0.008483499159326557,715.3216,0.7153,0.3577,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9208,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,32,25.1925,23.621,0.0,25.1925,25.1925,2.08e-06,0.008483499159326557,722.3249,0.7223,0.3612,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9177,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,33,25.1838,23.314,0.0,25.1838,25.1838,2.08e-06,0.008483499159326557,721.5415,0.7215,0.3608,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9154,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,34,25.189,23.655,0.0,25.189,25.189,2.08e-06,0.008483499159326557,718.9941,0.719,0.3595,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.92,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,35,25.2121,23.895,0.0,25.2121,25.2121,2.08e-06,0.008483499159326557,717.2246,0.7172,0.3586,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9188,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,36,25.2407,23.592,0.0,25.2407,25.2407,2.08e-06,0.008483499159326557,720.3454,0.7203,0.3602,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9146,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,37,25.2052,23.864,0.0,25.2052,25.2052,2.08e-06,0.008483499159326557,712.7734,0.7128,0.3564,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9165,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,38,25.1887,23.417,0.0,25.1887,25.1887,2.08e-06,0.008483499159326557,722.6576,0.7227,0.3613,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9196,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,39,25.1372,23.669,0.0,25.1372,25.1372,2.08e-06,0.008483499159326557,723.8594,0.7239,0.3619,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9123,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,40,25.2287,23.648,0.0,25.2287,25.2287,2.08e-06,0.008483499159326557,737.4833,0.7375,0.3687,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9154,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,41,25.2367,23.803,0.0,25.2367,25.2367,2.08e-06,0.008483499159326557,723.3964,0.7234,0.3617,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9177,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,42,25.2038,23.513,0.0,25.2038,25.2038,2.08e-06,0.008483499159326557,714.51,0.7145,0.3573,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9196,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,43,25.1564,23.85,0.0,25.1564,25.1564,2.08e-06,0.008483499159326557,723.3199,0.7233,0.3617,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9173,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,44,25.1605,23.652,0.0,25.1605,25.1605,2.08e-06,0.008483499159326557,718.0429,0.718,0.359,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9223,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,45,25.2446,23.684,0.0,25.2446,25.2446,2.08e-06,0.008483499159326557,722.0127,0.722,0.361,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9158,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,46,25.2316,23.728,0.0,25.2316,25.2316,2.08e-06,0.008483499159326557,719.1391,0.7191,0.3596,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9069,99.8134
